id,nct_id,responsible_party_type,name,title,organization,affiliation
864530,NCT02021331,Principal Investigator,Robert M. Eber,Principal Investigator,,University of Michigan
772615,NCT03219684,Principal Investigator,Abdullah Ahmed Abdel_Ghany,principal investigator,,Assiut University
910321,NCT01420406,Sponsor,,,,
1062377,NCT01699841,Sponsor,,,,
953896,NCT00684645,Sponsor,,,,
1170218,NCT02854449,Principal Investigator,Celia,Doctor,,Peking University First Hospital
892066,NCT01661387,Sponsor,,,,
859690,NCT02084524,Sponsor,,,,
785475,NCT03052296,Sponsor,,,,
1094341,NCT03348891,Sponsor,,,,
891509,NCT01668823,Sponsor,,,,
779583,NCT03129009,Principal Investigator,Jin Dong Liu,Principal Investigator,,Xuzhou Medical University
929020,NCT00272077,,Medical Affairs Study Director,,sanofi-aventis,
972744,NCT00949650,Sponsor,,,,
1111408,NCT00219531,Sponsor,,,,
792375,NCT02962492,Principal Investigator,Paresh Dandona,SUNY Distinguished Professor,,University at Buffalo
936839,NCT00427531,,"Debra L. Barton, R.N., Ph.D.",,Mayo Clinic Cancer Center,
781978,NCT03097796,Sponsor,,,,
865509,NCT02008539,Sponsor,,,,
845081,NCT02275156,Sponsor,,,,
784556,NCT03064243,Principal Investigator,Yang Yao,Professor,,Shanghai Jiao Tong University Affiliated Sixth People's Hospital
987706,NCT01150279,Sponsor,,,,
1049434,NCT03321656,Sponsor-Investigator,Roberto Gedaly,Sponsor/Investigator,,University of Kentucky
883697,NCT01770925,Principal Investigator,Rania Ali El-Farrash,principal investigator,,Ain Shams University
1000790,NCT01318291,Principal Investigator,"Alice D. Domar, PhD","Alice D. Domar, PhD",,Boston IVF
940238,NCT00493584,,"Aarhus University Hospital, Skejby",,Department of Cardiovascular research,
784515,NCT03064776,Sponsor,,,,
860845,NCT02069457,Sponsor-Investigator,Jia Ji-Dong,Director of liver research center,,Beijing Friendship Hospital
1002248,NCT01343485,Principal Investigator,Johanna Morfesis,Director of Research,,Planned Parenthood Federation of America
880300,NCT01815320,Sponsor,,,,
857268,NCT02116179,Sponsor,,,,
1170392,NCT02707367,Sponsor,,,,
905747,NCT01480921,Principal Investigator,Heather Arthur,Principal Investigator,,McMaster University
1164035,NCT01016353,Sponsor,,,,
884978,NCT01754220,Principal Investigator,Prof. Todor Popov,Professor,,"Association Asthma, Bulgaria"
766407,NCT03300492,Principal Investigator,Jakob Passweg,Head of Hematology Department,,"University Hospital, Basel, Switzerland"
777437,NCT03156907,Sponsor,,,,
896721,NCT01599598,Sponsor,,,,
929715,NCT00280904,Sponsor,,,,
836715,NCT02384304,Principal Investigator,Anne H Berman,Associate professor,,Karolinska Institutet
963159,NCT00811122,Sponsor,,,,
955383,NCT00714298,,Nathalie ROQUES,,U H TOULOUSE,
908463,NCT01444833,Principal Investigator,Stefan Zorad,Head of Laboratory,,Slovak Academy of Sciences
784467,NCT03065400,Sponsor-Investigator,John Mascarenhas,Associate Professor,,Icahn School of Medicine at Mount Sinai
803770,NCT02813980,Principal Investigator,Virend Somers,PI,,Mayo Clinic
965507,NCT00850837,Sponsor,,,,
852779,NCT02174757,Sponsor,,,,
1004886,NCT03300115,Sponsor,,,,
950017,NCT00631722,Principal Investigator,Si Tianmei,Professor,,Peking University
804510,NCT02804321,Sponsor,,,,
808201,NCT02756221,Principal Investigator,Itzik Weinstein,Head Exercise Physiology Laboratory,,Tel Hai College
887126,NCT01726179,Sponsor,,,,
969609,NCT00905333,,MC MD,,AstraZeneca,
1116247,NCT03322917,Sponsor,,,,
927953,NCT00241826,Sponsor,,,,
917458,NCT00005005,Sponsor-Investigator,Dennis Black,Prinicipal Investigator,,"University of California, San Francisco"
985165,NCT01120951,,Dr Ian Smith,,"Directorate of Anaesthesia, University Hospital of North Staffordshire, UK",
